"Task Lines Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Task: 1.0 Input Data (Not Parallel)"

Order No.,Name,Type,Is Line Parallel
0,"1.1 Del prev run data",TASK,N
1,"1.2 Import Data",TASK,N
