"Classification Items in Group Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 SUT Inventories    Group: Published Series"

Code,Description,Table Header
PublishTotal,"Published Total","PublishTotal"
Publish01,"SIC2007s 05 to 09","Publish01"
Publish02,"SIC2007 10 - 33","Publish02"
Publish03,"SIC2007 46","Publish03"
Publish04,"SIC2007 47","Publish04"
Publish05,"SIC2007s 35 and 36","Publish05"
Publish06,"SIC2007s 1-3, 37-39, 41-43, 45, 49-99","Publish06"
