"Task Lines Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Task: 4.0.1 Delete Processing Data (Not Parallel)"

Order No.,Name,Type,Is Line Parallel
0,"4.0.1.1 Del 4.1 Processing Data",CALCULATION DEFINITION,N
1,"4.0.1.2 Del 4.2 Processing Data",CALCULATION DEFINITION,N
2,"4.0.1.3 Del 4.3 Processing Data",CALCULATION DEFINITION,N
3,"4.0.1.4 Del 4.4 Processing Data",CALCULATION DEFINITION,N
4,"4.0.1.5 Del 4.5 Processing Data",CALCULATION DEFINITION,N
5,"4.0.1.6 Del 4.6 Processing Data",CALCULATION DEFINITION,N
6,"4.0.1.7 Del 4.7 Processing Data",CALCULATION DEFINITION,N
