"Task Lines Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Task: 2.2 Import Adj data 2.1-2.5 (Not Parallel)"

Order No.,Name,Type,Is Line Parallel
0,"2.2.1 Adjustment - A1.2 QSI",TIMESERIES IMPORT DEFINITION,N
1,"2.2.2 Adjustment - A1.2 Non-QSI",TIMESERIES IMPORT DEFINITION,N
2,"2.2.3 Adjustment - A1.2 ABI",TIMESERIES IMPORT DEFINITION,N
3,"2.2.4 Adjustment - SU Quality",TIMESERIES IMPORT DEFINITION,N
4,"2.2.5 Adjustment AQ for Pre SUT",TIMESERIES IMPORT DEFINITION,N
5,"2.2.6 Adjustment A4.2 Balanced",TIMESERIES IMPORT DEFINITION,N
6,"2.2.7 Adjustment A5.2 Balanced",TIMESERIES IMPORT DEFINITION,N
7,"2.2.8 Adjustment RP data",TIMESERIES IMPORT DEFINITION,N
