"Task Lines Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Task: 5.2 Copy Unbal Inv data from 4.2 (Not Parallel)"

Order No.,Name,Type,Is Line Parallel
0,"5.2.1 Copy BV Other Unbal Inv",CALCULATION DEFINITION,N
1,"5.2.2 Copy BV Other AN123 Unbal",CALCULATION DEFINITION,N
2,"5.2.3 Copy BV Other AN125 Unbal",CALCULATION DEFINITION,N
