"Task Lines Report    Date: 22/09/2022 13:42:32"
"Statistical Activity: Inventories Local    Mode: INT23    Task: 4.4.2 Perform Aggregations A5.2 (Not Parallel)"

Order No.,Name,Type,Is Line Parallel
0,"4.4.2.1 Agg A5.2 up Industries",CALCULATION DEFINITION,N
1,"4.4.2.2 Agg A5.2 up Asset",CALCULATION DEFINITION,N
2,"4.4.2.3 Agg A5.2 up Sector",CALCULATION DEFINITION,N
